ID,App,Category,Rating,Reviews,Size (MB),Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
1,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19,"10,000+",Free,0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up
2,Coloring book moana,ART_AND_DESIGN,3.9,967,14,"500,000+",Free,0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up
3,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,"5,000,000+",Free,0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up
4,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25,"50,000,000+",Free,0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up
5,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,"100,000+",Free,0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up
6,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,"50,000+",Free,0,Everyone,Art & Design,"March 26, 2017",1,2.3 and up
7,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19,"50,000+",Free,0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up
8,Infinite Painter,ART_AND_DESIGN,4.1,36815,29,"1,000,000+",Free,0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up
9,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33,"1,000,000+",Free,0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up
10,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,"10,000+",Free,0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up
11,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28,"1,000,000+",Free,0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up
12,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12,"1,000,000+",Free,0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up
13,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20,"10,000,000+",Free,0,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up
14,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21,"100,000+",Free,0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up
15,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37,"100,000+",Free,0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up
16,Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2.7,"5,000+",Free,0,Everyone,Art & Design,"June 6, 2018",NaN,4.2 and up
17,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,"500,000+",Free,0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up
18,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17,"10,000+",Free,0,Everyone,Art & Design,"November 7, 2017",1,2.3 and up
19,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39,"5,000,000+",Free,0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up
20,ibis Paint X,ART_AND_DESIGN,4.6,224399,31,"10,000,000+",Free,0,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up
21,Logo Maker - Small Business,ART_AND_DESIGN,4,450,14,"100,000+",Free,0,Everyone,Art & Design,"April 20, 2018",4,4.1 and up
22,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12,"100,000+",Free,0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up
23,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,"500,000+",Free,0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23,"50,000+",Free,0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6,"10,000+",Free,0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25,"500,000+",Free,0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up
27,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,"100,000+",Free,0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,"10,000+",Free,0,Everyone,Art & Design,"July 12, 2018",6,2.3 and up
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,"100,000+",Free,0,Everyone,Art & Design,"August 22, 2017",1,2.3 and up
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,"100,000+",Free,0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,"50,000+",Free,0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11,"100,000+",Free,0,Everyone,Art & Design,"July 19, 2018",2.2,4.0 and up
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11,"100,000+",Free,0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up
34,I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,"10,000+",Free,0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,"100,000+",Free,0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up
